"people_id","party","legislator_name","last_name","ballotpedia","district_number","chamber","termination_date","setting_party_loyalty","leg_party_loyalty","leg_n_votes_denom_loyalty","leg_n_votes_party_line_partisan","leg_n_votes_party_line_bipartisan","leg_n_votes_cross_party","leg_n_votes_absent_nv","leg_n_votes_independent","leg_n_votes_other","leg_party_independence","rank_independent_all","rank_independent_R","rank_independent_D","rank_partisan_leg_R","rank_partisan_leg_D","n_white","n_hispanic","n_black","n_asian","n_native","n_pacific","n_total_demo","pct_white","pct_hispanic","pct_black","pct_asian","pct_napi","source_demo","year_demo","avg_pct_D","avg_pct_R","avg_party_lean","avg_party_lean_points_abs","avg_party_lean_points_R","pct_D_20_PRES","pct_D_22_GOV","pct_R_20_PRES","pct_R_22_GOV","incumb_people_id","rank_partisan_dist_R","rank_partisan_dist_D"
19954,"R","Tommy Wright","Wright","http://ballotpedia.org/Tom_Wright",8,"Senate",NA,"partisan_cross",0.950617283950617,81,77,690,4,1,0,0,0,33,23,NA,19,NA,320446,56728,47785,7251,3021,118,435856,0.735210711794721,0.130153078080834,0.109634833522998,0.0166362284791307,0.00720191990015051,"CVAP",22,0.385530942530492,0.604815265155998,"R",21.9,21.9,0.419156361785078,0.351905523275906,0.568447636017738,0.641182894294258,19954,13,28
19960,"R","Susan Valdes","Valdes","http://ballotpedia.org/Susan_Valdes",64,"House",NA,"partisan_cross",0.84070796460177,113,95,512,18,50,1,0,0.0014792899408284,81,49,NA,87,NA,41387,59378,12589,3480,537,105,117650,0.351780705482363,0.504700382490438,0.107003824904377,0.029579260518487,0.00545686357841054,"CVAP",22,0.529146753631769,0.457995186851615,"D",7.1,-7.1,0.571081025359082,0.487212481904456,0.415036767232493,0.500953606470737,19960,88,32
20006,"D","Joseph Casello","Casello","http://ballotpedia.org/Joseph_Casello",90,"House",NA,"partisan_cross",0.821428571428571,84,69,462,15,58,2,3,0.00328407224958949,54,NA,28,NA,24,80795,16748,32164,2946,595,75,133966,0.603100786766792,0.125016795306272,0.240090769299673,0.0219906543451323,0.00500126897869609,"CVAP",22,0.562797679637026,0.430015977174756,"D",13.3,-13.3,0.604148306685132,0.521447052588921,0.386965462251878,0.473066492097634,20006,96,25
20358,"D","Dotie Joseph","Joseph","http://ballotpedia.org/Dotie_Joseph",108,"House",NA,"partisan_cross",1,74,74,422,0,159,14,3,0.0208333333333333,9,NA,9,NA,2,16731,36241,57263,1509,303,106,112380,0.148878804057662,0.322486207510233,0.509547962270867,0.0134276561665777,0.00363943762235273,"CVAP",22,0.784374016885148,0.206291283996859,"D",57.8,-57.8,0.809551108563201,0.759196925207095,0.182116335808658,0.230466232185061,20358,120,1
20418,"R","Toby Overdorf","Overdorf","http://ballotpedia.org/Toby_Overdorf",85,"House",NA,"partisan_cross",0.989247311827957,93,92,470,1,29,7,0,0.011686143572621,23,4,NA,42,NA,90341,26045,18770,2970,729,90,139114,0.649402648187817,0.187220552927815,0.134925313052604,0.0213493968975085,0.00588725793234326,"CVAP",22,0.42395937766947,0.569364987722273,"R",14.5,14.5,0.464006820780127,0.383911934558814,0.527544712926541,0.611185262518006,20418,59,62
20422,"D","Dianne Hart","Hart","http://ballotpedia.org/Dianne_Hart",63,"House",NA,"partisan_cross",0.987341772151899,79,78,473,1,60,11,2,0.0176,16,NA,14,NA,4,36541,25967,53679,2036,827,149,119040,0.306964045698925,0.218136760752688,0.450932459677419,0.0171034946236559,0.0081989247311828,"CVAP",22,0.728428851506585,0.256231673276071,"D",47.2,-47.2,0.759868707700351,0.696988995312818,0.224634734365469,0.287828612186672,20422,115,6
20540,"D","Michael Gottlieb","Gottlieb","http://ballotpedia.org/Michael_Gottlieb",102,"House",NA,"partisan_cross",0.894736842105263,76,68,496,8,55,16,7,0.0246153846153846,4,NA,4,NA,21,61978,42687,16063,6071,320,0,128149,0.483640137652264,0.33310443312082,0.125346276599895,0.0473745405738632,0.00249709322741496,"CVAP",22,0.544658546320329,0.44846747724737,"D",9.6,-9.6,0.57581330639782,0.513503786242838,0.416096510453393,0.480838444041346,20540,92,29
20632,"D","Jason Pizzo","Pizzo","http://ballotpedia.org/Jason_Pizzo",37,"Senate",NA,"partisan_cross",0.619718309859155,71,44,719,27,38,10,5,0.0118623962040332,7,NA,6,NA,11,201400,103021,54345,7389,1753,435,368847,0.54602585896049,0.279305511499348,0.147337513928539,0.020032696483908,0.0059319989046949,"CVAP",22,0.527292029912521,0.46585789425487,"D",6.1,-6.1,0.561886369112155,0.492697690712887,0.430753824840381,0.50096196366936,20632,29,12
20836,"R","Wyman Duggan","Duggan","http://ballotpedia.org/Wyman_Duggan",12,"House",NA,"partisan_cross",1,93,93,467,0,55,1,0,0.00162337662337662,74,42,NA,12,NA,85642,13534,28734,5882,928,90,135171,0.633582647165442,0.100125026817883,0.212575182546552,0.0435152510523707,0.00753120121919643,"CVAP",22,0.422685441399533,0.564550340625299,"R",14.2,14.2,0.460466694393976,0.38490418840509,0.522732745222512,0.606367936028085,20836,60,61
20905,"R","Ana Rodriguez","Rodriguez","http://ballotpedia.org/Ana_Maria_Rodriguez",40,"Senate",NA,"partisan_cross",0.85,80,68,720,12,17,1,0,0.00122249388753056,30,20,NA,24,NA,82624,238688,25654,5748,1024,149,354498,0.233073247239759,0.673312684415709,0.0723671219583749,0.0162144779378163,0.00330890442259195,"CVAP",22,0.395878593906404,0.597022980059069,"R",20.1,20.1,0.446070866141732,0.345686321671076,0.546318897637795,0.647727062480342,20905,16,26
20907,"R","Chip LaMarca","LaMarca","http://ballotpedia.org/Chip_LaMarca",100,"House",NA,"partisan_cross",0.975308641975309,81,79,401,2,54,2,0,0.00371747211895911,47,21,NA,63,NA,99273,21692,10633,2995,852,55,135734,0.731379020731725,0.159812574594427,0.0783370415665935,0.0220652157897063,0.00668218721911975,"CVAP",22,0.469717900314979,0.52411458446906,"R",5.4,5.4,0.500347397375008,0.439088403254949,0.492105037737824,0.556124131200295,20907,75,46
20953,"R","David Smith","Smith","http://ballotpedia.org/David_Smith_(Florida)",38,"House",NA,"partisan_cross",0.865168539325843,89,77,439,12,8,3,1,0.00555555555555556,37,13,NA,86,NA,82536,30792,14562,4450,758,119,133513,0.618186993026896,0.230629227116461,0.109068030828459,0.0333300877068151,0.00656864874581501,"CVAP",22,0.496685903927367,0.491648479910711,"D",0.5,-0.5,0.53105513619954,0.462316671655193,0.453724975385625,0.529571984435798,20953,81,40
