"chamber","party","rank_partisan_leg_D","rank_partisan_leg_R","legislator_name","district_number","leg_party_loyalty","leg_n_votes_denom_loyalty"
"House","D",99,NA,"Michelle Rehwinkel Vasilinda",9,0.819012797074954,547
"House","D",100,NA,"Mark Danish",63,0.818897637795276,127
"House","D",101,NA,"Barrington Russell",95,0.816993464052288,153
"House","D",102,NA,"David Silvers",89,0.805022156573117,677
"House","D",103,NA,"Jared Moskowitz",97,0.801020408163265,392
"House","D",104,NA,"Carl Zimmerman",65,0.798449612403101,129
"House","D",105,NA,"Roy Hardemon",108,0.792207792207792,154
"House","D",106,NA,"Mitch Rosenwald",98,0.792134831460674,178
"House","D",107,NA,"Michael Grieco",113,0.79108635097493,359
"House","D",108,NA,"Jervonte Edmonds",88,0.79020979020979,286
"House","D",109,NA,"Johanna Lopez",43,0.789731051344743,409
"House","D",110,NA,"Katherine Waldron",93,0.787735849056604,212
"House","D",111,NA,"Debra Tendrich",89,0.783132530120482,166
"House","D",112,NA,"Joseph Casello",90,0.780238500851789,587
"House","D",113,NA,"Javier Fernandez",114,0.777777777777778,126
"House","D",114,NA,"Gallop Franklin",8,0.772861356932153,339
"House","D",115,NA,"Wengay Newton",70,0.764912280701754,285
"House","D",116,NA,"Nicholas Duran",112,0.755656108597285,442
"House","D",117,NA,"Andrew Learned",59,0.733905579399142,233
"House","D",118,NA,"Michael Clelland",29,0.689393939393939,132
"House","D",119,NA,"John Julien",104,0.686192468619247,239
"House","D",120,NA,"Katie Edwards",98,0.683544303797468,395
"House","D",121,NA,"Matt Willhite",86,0.678068410462777,497
"House","D",122,NA,"Leonard Bembry",2,0.668674698795181,332
"House","D",123,NA,"Anika Omphroy",95,0.660377358490566,265
"House","D",124,NA,"James Bush",109,0.624,375
"House","D",125,NA,"Kimberly Daniels",14,0.5390625,512
"House","D",126,NA,"Jose Alvarez",46,0.526315789473684,190
"House","D",127,NA,"Debbie Boyd",11,0.255102040816327,294
"House","D",128,NA,"Michael Scionti",58,NA,NA
"House","R",NA,1,"Taylor Yarkosky",25,1,422
"House","R",NA,2,"Chase Tramont",30,1,400
"House","R",NA,3,"Elizabeth Fetterhoff",26,1,388
"House","R",NA,4,"Jennifer Canady",50,1,386
"House","R",NA,5,"Brett Hage",33,1,311
"House","R",NA,6,"Mike Redondo",118,1,285
"House","R",NA,7,"Joe Harding",22,1,246
"House","R",NA,8,"Meg Weinberger",94,1,244
"House","R",NA,9,"Jon Albert",48,1,222
"House","R",NA,10,"Joel Rudman",3,1,221
"House","R",NA,11,"Judson Sapp",20,1,220
"House","R",NA,12,"Vanessa Oliver",76,1,209
"House","R",NA,13,"Sam Greco",19,1,206
"House","R",NA,14,"William Conerly",72,1,195
"House","R",NA,15,"Bill Partington",28,1,181
"House","R",NA,16,"Jennifer Kincart Jonsson",49,1,174
"House","R",NA,17,"Monique Miller",33,1,170
"House","R",NA,18,"Nathan Boyles",3,1,114
"House","R",NA,19,"Alexandra Miller",72,1,69
"House","R",NA,20,"Josie Tomkow",51,0.998643147896879,737
"House","R",NA,21,"Mike Giallombardo",79,0.998632010943912,731
"House","R",NA,22,"Kaylee Tuck",83,0.998482549317147,659
"House","R",NA,23,"Alejandro Rizo",112,0.998461538461539,650
"House","R",NA,24,"Ritch Workman",52,0.998333333333333,600
"House","R",NA,25,"Sam Garrison",11,0.998296422487223,587
"House","R",NA,26,"Shane Abbott",5,0.997663551401869,428
"House","R",NA,27,"Brad Yeager",56,0.99749373433584,399
"House","R",NA,28,"Daniel Perez",116,0.997402597402597,770
"House","R",NA,29,"Bob Rommel",81,0.997233748271093,723
"House","R",NA,30,"John Snyder",86,0.997130559540889,697
"House","R",NA,31,"Mike Horner",79,0.997058823529412,340
"House","R",NA,32,"Chris Dorworth",34,0.997032640949555,337
"House","R",NA,33,"Adam Botana",80,0.996860282574568,637
"House","R",NA,34,"Steve Crisafulli",51,0.996688741721854,604
"House","R",NA,35,"Lawrence McClure",68,0.996332518337408,818
"House","R",NA,36,"Amber Mariano",36,0.996146435452794,519
"House","R",NA,37,"Bobby Payne",20,0.996005326231691,751
"House","R",NA,38,"Berny Jacques",59,0.995951417004049,494
"House","R",NA,39,"Will Weatherford",38,0.995689655172414,464
"House","R",NA,40,"Michael Grant",75,0.995620437956204,685
"House","R",NA,41,"Thomas Fabricio",110,0.995412844036697,654
"House","R",NA,42,"Carolina Amesty",45,0.995412844036697,218
"House","R",NA,43,"Nan Cobb",26,0.995305164319249,213
"House","R",NA,44,"Seth McKeel",40,0.995283018867924,424
"House","R",NA,45,"Stephen Precourt",44,0.995203836930456,417
"House","R",NA,46,"Chuck Brannan",10,0.995180722891566,830
"House","R",NA,47,"Daniel Alvarez",69,0.995145631067961,412
"House","R",NA,48,"Tiffany Esposito",77,0.995145631067961,412
"House","R",NA,49,"Adam Anderson",57,0.995024875621891,402
"House","R",NA,50,"Michael Owen",70,0.994897959183674,196
"House","R",NA,51,"Larry Metz",32,0.994100294985251,678
"House","R",NA,52,"Jenna Persons-Mulicka",78,0.99405646359584,673
"House","R",NA,53,"Clay Ingram",1,0.994038748137109,671
"House","R",NA,54,"Wyman Duggan",12,0.993909866017052,821
"House","R",NA,55,"Philip Griffitts",6,0.99390243902439,492
"House","R",NA,56,"Jayer Williamson",3,0.993775933609959,482
"House","R",NA,57,"Dean Cannon",35,0.993730407523511,319
"House","R",NA,58,"Ryan Chamberlin",24,0.993730407523511,319
"House","R",NA,59,"Tommy Gregory",72,0.993720565149137,637
"House","R",NA,60,"Frank White",2,0.993710691823899,159
"House","R",NA,61,"Webster Barnaby",29,0.993660855784469,631
"House","R",NA,62,"Randy Maggard",54,0.993548387096774,775
"House","R",NA,63,"Lauren Melo",82,0.993243243243243,592
"House","R",NA,64,"Byron Donalds",80,0.992805755395683,278
"House","R",NA,65,"Robert Brackett",34,0.992788461538462,416
"House","R",NA,66,"Dane Eagle",77,0.992727272727273,550
"House","R",NA,67,"James Buchanan",74,0.992691839220463,821
"House","R",NA,68,"Ardian Zika",37,0.991780821917808,365
"House","R",NA,69,"Jeff Holcomb",53,0.991452991452991,468
"House","R",NA,70,"Jason Shoaf",7,0.991379310344828,696
"House","R",NA,71,"Fiona McFarland",73,0.991243432574431,571
"House","R",NA,72,"John Temple",52,0.990654205607477,321
"House","R",NA,73,"Cord Byrd",11,0.99063670411985,534
"House","R",NA,74,"Alex Andrade",2,0.990502035278155,737
"House","R",NA,75,"Jennifer Sullivan",31,0.990476190476191,420
"House","R",NA,76,"Jason Fischer",16,0.990138067061144,507
"House","R",NA,77,"David Borrero",111,0.989985693848355,699
"House","R",NA,78,"Juan Porras",119,0.98997995991984,499
