stateCode,year,nDistricts,planType,description,title,id,thumbnail,pendingCourtApproval,url,filename
VT,2022,104,lower,VT 2022 State House,VT 2022 State House,b627a7e1-8c66-4425-80f4-2f2958381ee0,NA,NA,https://davesredistricting.org/maps#viewmap::b627a7e1-8c66-4425-80f4-2f2958381ee0,VT_2022_lower.csv
VT,2022,13,upper,VT 2022 State Senate,VT 2022 State Senate,1cdffaa1-c558-45d1-83f3-8d1dd5f7f203,NA,NA,https://davesredistricting.org/maps#viewmap::1cdffaa1-c558-45d1-83f3-8d1dd5f7f203,VT_2022_upper.csv
WA,2022,49,upper,WA 2022 State Legislatures,WA 2022 State Legislatures,3e3c5f5c-3a83-4847-b1d8-5328fb3b9e31,NA,NA,https://davesredistricting.org/maps#viewmap::3e3c5f5c-3a83-4847-b1d8-5328fb3b9e31,WA_2022_upper.csv
WA,2024,49,upper,WA 2024 State Legislatures,WA 2024 State Legislatures,bab1e382-9bf0-4d3f-84df-7310e9b04184,NA,NA,https://davesredistricting.org/maps#viewmap::bab1e382-9bf0-4d3f-84df-7310e9b04184,WA_2024_upper.csv
WI,2024,99,lower,WI 2024 State House,WI 2024 State House,c4f3821b-51c4-4f41-99d8-c4c9d67e116f,NA,NA,https://davesredistricting.org/maps#viewmap::c4f3821b-51c4-4f41-99d8-c4c9d67e116f,WI_2024_lower.csv
WI,2024,33,upper,WI 2024 State Senate,WI 2024 State Senate,1d0da539-5574-428f-8f96-6238b9509ea6,NA,NA,https://davesredistricting.org/maps#viewmap::1d0da539-5574-428f-8f96-6238b9509ea6,WI_2024_upper.csv
WV,2022,67,lower,WV 2022 State House,WV 2022 State House,bd6eb9ac-ac94-465f-82d6-4e086307d5e5,NA,NA,https://davesredistricting.org/maps#viewmap::bd6eb9ac-ac94-465f-82d6-4e086307d5e5,WV_2022_lower.csv
WV,2022,17,upper,WV 2022 State Senate,WV 2022 State Senate,c3ca956f-0b1d-4750-894d-b2e9dadc642c,NA,NA,https://davesredistricting.org/maps#viewmap::c3ca956f-0b1d-4750-894d-b2e9dadc642c,WV_2022_upper.csv
WY,2022,62,lower,WY 2022 State House,WY 2022 State House,483d3157-343b-451f-9a0e-aebef749205f,NA,NA,https://davesredistricting.org/maps#viewmap::483d3157-343b-451f-9a0e-aebef749205f,WY_2022_lower.csv
WY,2022,31,upper,WY 2022 State Senate,WY 2022 State Senate,e2618faf-bad1-4bb1-9a85-7e1c2ccdef91,NA,NA,https://davesredistricting.org/maps#viewmap::e2618faf-bad1-4bb1-9a85-7e1c2ccdef91,WY_2022_upper.csv
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
