stateCode,year,nDistricts,planType,description,title,id,thumbnail,pendingCourtApproval,url
HI,2022,51,lower,HI 2022 State House,HI 2022 State House,6e4f9c2e-6a11-4848-adab-22f3113bef79,NA,NA,https://davesredistricting.org/maps#viewmap::6e4f9c2e-6a11-4848-adab-22f3113bef79
HI,2022,25,upper,HI 2022 State Senate,HI 2022 State Senate,c4d580e8-5bfd-4656-820d-b58c7ccfe92c,NA,NA,https://davesredistricting.org/maps#viewmap::c4d580e8-5bfd-4656-820d-b58c7ccfe92c
IA,115,4,congress,Districts for the 116th US Congress,IA 116th Congressional,e43359c8-d3cc-4606-ba54-b84e7e7f2e6f,c366c461-3ccd-40da-a474-55c8d93e7649.png,NA,https://davesredistricting.org/maps#viewmap::e43359c8-d3cc-4606-ba54-b84e7e7f2e6f
IA,116,4,congress,Districts for the 116th US Congress,IA 116th Congressional,e43359c8-d3cc-4606-ba54-b84e7e7f2e6f,c366c461-3ccd-40da-a474-55c8d93e7649.png,NA,https://davesredistricting.org/maps#viewmap::e43359c8-d3cc-4606-ba54-b84e7e7f2e6f
IA,2018,100,lower,Districts for the 2018 Lower State House,IA 2018 Lower State House,b7cdc251-1cff-4857-9496-2de7b0359d2c,9cf363a5-1138-4b3a-8e83-1aad233989cd.png,NA,https://davesredistricting.org/maps#viewmap::b7cdc251-1cff-4857-9496-2de7b0359d2c
IA,2018,50,upper,Districts for the 2018 Upper State House,IA 2018 Upper State House,9b7066c0-54eb-4d3d-b2ca-f8699a15dc2e,7ebe43fb-12fa-4948-a211-20741b0aea93.png,NA,https://davesredistricting.org/maps#viewmap::9b7066c0-54eb-4d3d-b2ca-f8699a15dc2e
IA,2020,4,congress,IA 2020 Congressional,IA 2020 Congressional,2d801234-32b3-4a96-a64c-82e27c460716,NA,NA,https://davesredistricting.org/maps#viewmap::2d801234-32b3-4a96-a64c-82e27c460716
IA,2020,100,lower,IA 2020 State House,IA 2020 State House,208b9eab-83c0-4837-883d-a2541712b676,NA,NA,https://davesredistricting.org/maps#viewmap::208b9eab-83c0-4837-883d-a2541712b676
IA,2020,50,upper,IA 2020 State Senate,IA 2020 State Senate,29dd3b02-60bc-4602-a250-9a9710fdd9e2,NA,NA,https://davesredistricting.org/maps#viewmap::29dd3b02-60bc-4602-a250-9a9710fdd9e2
IA,2022,4,congress,IA 2022 Congressional,IA 2022 Congressional,628d5e9a-bd35-4248-aa8c-73af095e0135,NA,NA,https://davesredistricting.org/maps#viewmap::628d5e9a-bd35-4248-aa8c-73af095e0135
IA,2022,100,lower,IA 2022 State House,IA 2022 State House,3bba1647-f4a4-4374-8021-a8e4aeb6f15a,NA,NA,https://davesredistricting.org/maps#viewmap::3bba1647-f4a4-4374-8021-a8e4aeb6f15a
IA,2022,50,upper,IA 2022 State Senate,IA 2022 State Senate,0e81cf3d-648d-4851-b14b-0ee893f92610,NA,NA,https://davesredistricting.org/maps#viewmap::0e81cf3d-648d-4851-b14b-0ee893f92610
ID,115,2,congress,Districts for the 116th US Congress,ID 116th Congressional,e196e984-cd84-45cb-abc1-d82fbad0445b,062a2af0-9706-469e-a640-5472e3d078f9.png,NA,https://davesredistricting.org/maps#viewmap::e196e984-cd84-45cb-abc1-d82fbad0445b
ID,116,2,congress,Districts for the 116th US Congress,ID 116th Congressional,e196e984-cd84-45cb-abc1-d82fbad0445b,062a2af0-9706-469e-a640-5472e3d078f9.png,NA,https://davesredistricting.org/maps#viewmap::e196e984-cd84-45cb-abc1-d82fbad0445b
ID,2018,35,lower,Districts for the 2018 Lower State House,ID 2018 Lower State House,82adcf76-7859-4f78-a9de-a6ad500ae91c,fbf8bf3f-451e-44c7-acb5-3a517b50f8fa.png,NA,https://davesredistricting.org/maps#viewmap::82adcf76-7859-4f78-a9de-a6ad500ae91c
ID,2018,35,upper,Districts for the 2018 Lower State House,ID 2018 Lower State House,82adcf76-7859-4f78-a9de-a6ad500ae91c,fbf8bf3f-451e-44c7-acb5-3a517b50f8fa.png,NA,https://davesredistricting.org/maps#viewmap::82adcf76-7859-4f78-a9de-a6ad500ae91c
ID,2020,2,congress,ID 2020 Congressional,ID 2020 Congressional,14e046b2-98a2-4b59-bfe3-6c8afee85f43,NA,NA,https://davesredistricting.org/maps#viewmap::14e046b2-98a2-4b59-bfe3-6c8afee85f43
ID,2020,35,upper,ID 2020 State Legislatures,ID 2020 State Legislatures,b2528343-8aad-4a29-9978-22ab901d6508,NA,NA,https://davesredistricting.org/maps#viewmap::b2528343-8aad-4a29-9978-22ab901d6508
ID,2022,2,congress,ID 2022 Congressional,ID 2022 Congressional,ebc8cec8-b919-4a66-9b42-9cf5bf7e02a1,NA,NA,https://davesredistricting.org/maps#viewmap::ebc8cec8-b919-4a66-9b42-9cf5bf7e02a1
ID,2022,35,upper,ID 2022 State Legislature,ID 2022 State Legislature,a56da372-79a4-48e7-9fd5-b689d0ccb602,NA,NA,https://davesredistricting.org/maps#viewmap::a56da372-79a4-48e7-9fd5-b689d0ccb602
IL,115,18,congress,Districts for the 116th US Congress,IL 116th Congressional,032b7ec2-cdf0-4d3e-a02b-77c2d28a2008,5df0f1b7-6428-46d9-9b8c-4a8fa5742dab.png,NA,https://davesredistricting.org/maps#viewmap::032b7ec2-cdf0-4d3e-a02b-77c2d28a2008
IL,116,18,congress,Districts for the 116th US Congress,IL 116th Congressional,032b7ec2-cdf0-4d3e-a02b-77c2d28a2008,5df0f1b7-6428-46d9-9b8c-4a8fa5742dab.png,NA,https://davesredistricting.org/maps#viewmap::032b7ec2-cdf0-4d3e-a02b-77c2d28a2008
IL,2018,118,lower,Districts for the 2018 Lower State House,IL 2018 Lower State House,8b9ccb4c-d702-433d-9cbd-1e898d521eab,94cf5ed7-c565-4c98-baed-7e247295e268.png,NA,https://davesredistricting.org/maps#viewmap::8b9ccb4c-d702-433d-9cbd-1e898d521eab
IL,2018,59,upper,Districts for the 2018 Upper State House,IL 2018 Upper State House,f29396b2-e7ee-44b5-892c-46043fd36017,f6214ade-f394-40ea-b2ea-3d2c63d53b8c.png,NA,https://davesredistricting.org/maps#viewmap::f29396b2-e7ee-44b5-892c-46043fd36017
IL,2020,18,congress,IL 2020 Congressional,IL 2020 Congressional,1f28107b-3981-46fc-9be5-6c3be848683d,NA,NA,https://davesredistricting.org/maps#viewmap::1f28107b-3981-46fc-9be5-6c3be848683d
IL,2020,118,lower,IL 2020 State House,IL 2020 State House,8baed7b3-8702-4265-9ab5-0ae0ec9cb187,NA,NA,https://davesredistricting.org/maps#viewmap::8baed7b3-8702-4265-9ab5-0ae0ec9cb187
IL,2020,59,upper,IL 2020 State Senate,IL 2020 State Senate,e7eface3-406c-42e0-b7fc-7e0d6471d975,NA,NA,https://davesredistricting.org/maps#viewmap::e7eface3-406c-42e0-b7fc-7e0d6471d975
IL,2022,17,congress,IL 2022 Congressional,IL 2022 Congressional,8a4586ad-4c58-489b-828c-4477cfd0ce88,NA,NA,https://davesredistricting.org/maps#viewmap::8a4586ad-4c58-489b-828c-4477cfd0ce88
IL,2022,118,lower,IL 2022 State House,IL 2022 State House,19bc2a13-2ad1-455a-a7cb-4182ff7c6f6f,NA,NA,https://davesredistricting.org/maps#viewmap::19bc2a13-2ad1-455a-a7cb-4182ff7c6f6f
IL,2022,59,upper,IL 2022 State Senate,IL 2022 State Senate,8cd5c7ba-6e69-42a7-89e1-3806a2a05e64,NA,NA,https://davesredistricting.org/maps#viewmap::8cd5c7ba-6e69-42a7-89e1-3806a2a05e64
IN,115,9,congress,Districts for the 116th US Congress,IN 116th Congressional,acf2b347-b496-4e52-9403-cab828d4fab3,2e1bbe07-bad5-41ef-9cd9-ecec04e51aa8.png,NA,https://davesredistricting.org/maps#viewmap::acf2b347-b496-4e52-9403-cab828d4fab3
IN,116,9,congress,Districts for the 116th US Congress,IN 116th Congressional,acf2b347-b496-4e52-9403-cab828d4fab3,2e1bbe07-bad5-41ef-9cd9-ecec04e51aa8.png,NA,https://davesredistricting.org/maps#viewmap::acf2b347-b496-4e52-9403-cab828d4fab3
IN,2018,100,lower,Districts for the 2018 Lower State House,IN 2018 Lower State House,8935736d-bd0c-4f89-927c-4843e156d8ec,8ce1fe08-886e-440e-8704-054505952d51.png,NA,https://davesredistricting.org/maps#viewmap::8935736d-bd0c-4f89-927c-4843e156d8ec
IN,2018,50,upper,Districts for the 2018 Upper State House,IN 2018 Upper State House,37bc63df-0daa-40c3-8ad9-812afb2fcc6c,647c4a29-4128-4f71-b0ce-adb6b23c4d45.png,NA,https://davesredistricting.org/maps#viewmap::37bc63df-0daa-40c3-8ad9-812afb2fcc6c
IN,2020,9,congress,IN 2020 Congressional,IN 2020 Congressional,930472f1-d096-42c0-9e38-10f463ecdb89,NA,NA,https://davesredistricting.org/maps#viewmap::930472f1-d096-42c0-9e38-10f463ecdb89
IN,2020,100,lower,IN 2020 State House,IN 2020 State House,4885f23b-bb9d-45ca-81ea-f56c3d7a0047,NA,NA,https://davesredistricting.org/maps#viewmap::4885f23b-bb9d-45ca-81ea-f56c3d7a0047
IN,2020,50,upper,IN 2020 State Senate,IN 2020 State Senate,dd9c6c14-2199-4e23-933f-14a1f2bb38a6,NA,NA,https://davesredistricting.org/maps#viewmap::dd9c6c14-2199-4e23-933f-14a1f2bb38a6
IN,2022,9,congress,IN 2022 Congressional,IN 2022 Congressional,c08c9df0-9756-4c5a-a7e7-01ff03bbb170,NA,NA,https://davesredistricting.org/maps#viewmap::c08c9df0-9756-4c5a-a7e7-01ff03bbb170
IN,2022,100,lower,IN 2022 State House,IN 2022 State House,db849782-86e9-4293-a492-3e17d7cfceab,NA,NA,https://davesredistricting.org/maps#viewmap::db849782-86e9-4293-a492-3e17d7cfceab
